id,object_a,object_b,sentence,most_frequent_label
I1363784643,Microsoft,Sony,It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.,better
H1178255861,Toyota,Ford,I liked the Toyota over the Ford and it looks better than the Chevy.,better
M1988301333,Perl,Java,"- Perl has constructs that are magnitudes easier than Java will be, by design.",better
L1885501055,Windows 7,Windows 8,"On Balance Microsoft Windows 7 is better than Windows 8"".",better
Q2741830613,Toyota,Ford,The Toyota Tundra gets worse fuel economy than the larger Ford F-150 or Dodge Ram.,worse
T3218025071,plastic,cement,x Concrete tanks painted with marine epoxy or plastic-lined tanks are easier to clean and maintain than bare cement tanks.,better
M1996496466,PHP,Java,"PHP ""runs crappy code extremely fast"" so it is better for startups than other languages like Java.",better
S2973030164,Python,PHP,"Unless you are working experienced Python web developers, PHP is easier to get started with.",worse
K1725268970,Windows 8,Windows XP,"Modern hardware/ multicore systems perform much better on Windows 7 or Windows 8, instead of Windows XP.",better
D492672769,Apple,Microsoft,closed Apple is better than Microsoft.,better
M2047625883,Pepsi,Coca-Cola,P.S.: I think Pepsi works better in flavored colas than Coke because Cokes trademark acidity (which I enjoy most in its old-relable regular Coca-Cola form) sometimes conflicts with the other flavors.,better
F760413357,Perl,PHP,For the back-end stuff Perl is way better than PHP.,better
E661341649,espn,fox,espn has a worse agenda than fox news.,worse
K1740678343,Oracle,PostgreSQL,Most of the applications I see that use Oracle would work fine or better with an OSS database such as PostgreSQL or even SQLite.,worse
J1493067149,Google,Microsoft,"It wouldn't surprise me if Google has a better (faster, more secure, does what most people need) OS than Microsoft or Apple in a year or two.",better
J1462735415,Ford,BMW,It's pretty bad when a Ford has much better reliability than a BMW.,better
A51202488,rifle,pistol,.223 rifle is better than pistol!,better
A132707689,Chevrolet,Toyota,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.",worse
G959010482,Honda,BMW,Honda cold probably legitimately build a better 3 than BMW easily.,better
Q2671009969,restaurant,cafe,"The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",better
K1722396324,mit,stanford,"mit is harder to graduate from (on average probably, at minimum certainly) than HYP or stanford.",worse
J1545027407,Java,Python,"Java isn't too bad of a first language, but Python is a little easier to pick up.",worse
P2576227089,Windows Vista,Windows XP,The new Windows 7 is said to be so much better than the problems ridden Windows Vista and is a considerable improvement on Windows XP.,worse
O2372997244,Amazon,Apple,"That said, Amazon will never produce better hardware than Apple does, even if it tries.",worse
O2399247829,Amazon,Sony,"The Amazon ""service"" makes the Kindle superior to the Sony Reader in many ways, hands down.",better
B326121571,Apple,Dell,"Apple computers seem to be better, and many (but not all) of the Dell laptops work good.",better
D494503195,cnn,fox,cnn is truly become worse than fox was during the bush admin.,worse
P2469175342,ds,wii,The ds Lite was a better system the the wii with better games.,better
M1941793477,Java,Lisp,"Other than popularity and mass acceptance, what advantages does Java have over the technically far superior Lisp and Smalltalk?",better
I1325974486,michigan,california,I once read that convertibles sold better in michigan than california.,better
T3194670679,Java,Scala,"With most Java code I seldom have to use the source, but for the Scala code it seems easier to start with the source.",worse
R2820815780,Bluetooth,USB,"This does NOT have to be Bluetooth tethering, by the way, I'm perfectly content to do this via USB if it makes things easier.",worse
K1744946329,Motorola,Nokia,Motorola was king before Nokia came in.,worse
Q2712056964,Sigma,Nikon,The Sigma 50mm f/1.4 is even better than Nikon 50mm lenses.,better
B228476363,Mercedes-Benz,Audi,"Although we have Mercedes-Benz to thank for the oxymoronic ""4-door coupe"" category, Audi has gone one better with its A7 5-door coupe .",worse
N2146615694,Objective-C,Java,"Second, in real world tasks using apps, all other things being equal, the iphone 5 enjoys an inherent advantage in that it mandates programmers to use Objective-C, which is a much lower-level language than the Java used in Android machines, which runs programs in the Dalvik virtual machine, creating a software that necessarily is more indirect than the iPhone programming approach and hence slower.",worse
Q2645457592,Ethernet,USB,The reason we want to load games off the Ethernet is because it is for sure 110% faster than playing games off the USB interface.,better
M2003253534,aluminum,steel,"Plastic is cheap, aluminum is way easier and faster to machine than steel.",better
M2041678207,Python,Java,"Program development using Python is 5-10 times faster than using C/C++, and 3-5 times faster than using Java.",better
T3184472602,Windows 8,Windows 7,"Windows 8 is just plain faster than Windows 7 , he says.",better
L1775756281,Bash,Python,My roommate likes Bash for his scripting needs but I think Python is a better glue language.,worse
M2003218877,plastic,wood,plastic and brass would be much easier on your wood.,better
M2000110600,pistol,rifle,pistol/shotgun powder are much faster burning that rifle powder.,better
C358901539,mobile,laptop,"As he explained, ""Writing, reading, and organising e-mails is usually faster on my mobile device than on a laptop.",better
T3126423008,Dell,Apple,"When he was shopping for a laptop, HP, Gateway, and Dell all said how they were better than Apple.",better
H1122423627,ds,ps3,"If you're talking about disc space issues, there are ds RPGs that are better than most ps3 RPGs.",better
M2054210370,Python,Haskell,"Python, with NumPy generally has better libs for numerics than Haskell - particularly if runtime is an issue.",better
O2428051771,Nikon,Sigma,The canon and Nikon 50mm 1.4 aren't very good the Sigma out now is better than both of them.,worse
K1716894951,milk,beer,milk is better than beer!,better
J1544989266,Java,Smalltalk,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,worse
L1842619513,Python,Java,No way is Python or TCL faster than Java.,worse
T3171840444,Buick,Cadillac,"Who's up for an intra-company cannibalizing Buick Regal 2.0T, which looks better, probably drives better, and is more Teutonic in every way than this large-on-the-outside but small-on-the-inside answer to a question no one is asking of Cadillac?",better
P2508197996,ds,wii,"The graphics are good for ds, but I'm sure the wii one has much better graphics.",worse
N2175614226,california,michigan,She enjoys pointing out how much nicer the weather is in california compared to michigan.,better
O2417243467,Windows XP,Windows 8,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than Windows XP did when the hardware was brand new and Windows 8 runs even better again).",worse
R2844268311,Swift,Objective-C,This is so much nicer in Swift than Objective-C because of the concise syntax.,better
F843044344,Microsoft,Sony,Hahaha Microsoft is playing the game better than Sony.,better
K1695826438,Toyota,Ford,"Mazda 6, Honda Accord Euro and Toyota Camry better watch out for this advanced strategic move from Ford.",worse
P2439284654,coffee,beer,The coffee really improved a mediocre base beer.,better
S3074001085,youtube,hulu,We obviously linked to youtube above even though hulu has superior quality and content.,worse
F738994779,BMW,Toyota,"For BMW money, I really expect them to sell a car that is better than Toyota in every way, not just in the intangibles.",better
N2118195425,PostgreSQL,MySQL,"Roughly speaking, the conclusion was that PostgreSQL was the better database, but MySQL had a larger user base.",better
