id,object_a,object_b,aspect,sentence,most_frequent_label
0-111,This camera,the Canon SLRs,learning curve,This camera has just a bit higher learning curve than the Canon SLRs I 've used but about the same with the Nikons .,better
0-111,the Canon SLRs,This camera,learning curve,This camera has just a bit higher learning curve than the Canon SLRs I 've used but about the same with the Nikons .,worse
0-115,this camera,the series,capacity,"The one this camera takes is the smallest capacity battery in the series ( which is fine , the other batteries would be much too large ) .",better
0-115,the series,this camera,capacity,"The one this camera takes is the smallest capacity battery in the series ( which is fine , the other batteries would be much too large ) .",worse
0-35,this,other good digital SLR cameras,nan,"Sony boasts that this processor is hardware-based rather than software based , to improve response time , but I do n't see much of a difference between this and other good digital SLR cameras .",same
0-35,other good digital SLR cameras,this,nan,"Sony boasts that this processor is hardware-based rather than software based , to improve response time , but I do n't see much of a difference between this and other good digital SLR cameras .",same
101-13,D80,Xti,buttons,D80 has more buttons and dials than Xti and yet most adjustments need two button operation .,better
101-13,Xti,D80,buttons,D80 has more buttons and dials than Xti and yet most adjustments need two button operation .,worse
101-13,D80,Xti,dials,D80 has more buttons and dials than Xti and yet most adjustments need two button operation .,better
101-13,Xti,D80,dials,D80 has more buttons and dials than Xti and yet most adjustments need two button operation .,worse
101-14,XTi,nan,buttons,"XTi is able to achieve the same functions with fewer buttons , that are intuitive .",better
101-14,nan,XTi,buttons,"XTi is able to achieve the same functions with fewer buttons , that are intuitive .",worse
101-17,XTi,nan,nan,I felt more comfortable with XTi and some of my friends felt more comfortable with D80 .,better
101-17,nan,XTi,nan,I felt more comfortable with XTi and some of my friends felt more comfortable with D80 .,worse
101-17,D80,nan,nan,I felt more comfortable with XTi and some of my friends felt more comfortable with D80 .,better
101-17,nan,D80,nan,I felt more comfortable with XTi and some of my friends felt more comfortable with D80 .,worse
101-18,Canon,nan,design,"But as far as the design goes , I feel that Canon is a clear winner .",better
101-18,nan,Canon,design,"But as far as the design goes , I feel that Canon is a clear winner .",worse
101-21,both,both,Image quality,Image quality is excellent on both .,same
101-21,both,both,Image quality,Image quality is excellent on both .,same
102-2,This,that,nan,"This one is a lot like that , but quicker , better , super easy , and prints are far more gorgeous .",better
102-2,that,This,nan,"This one is a lot like that , but quicker , better , super easy , and prints are far more gorgeous .",worse
102-2,This,that,prints,"This one is a lot like that , but quicker , better , super easy , and prints are far more gorgeous .",better
102-2,that,This,prints,"This one is a lot like that , but quicker , better , super easy , and prints are far more gorgeous .",worse
102-2,This,that,nan,"This one is a lot like that , but quicker , better , super easy , and prints are far more gorgeous .",better
102-2,that,This,nan,"This one is a lot like that , but quicker , better , super easy , and prints are far more gorgeous .",worse
104-6,canon,the competition,image sensors,"All in all canon makes better image sensors than really any of the competition , they have been a leader in auto focus lenses and quality in `` glass '' for a long time .",better
